id,deployment_code,community_name,population,population_override,latitude,longitude,cost_estimate,cost_actual,other_funding_amt,other_funding_donation_count,completion_date,partner_project_code,plaque_text,project_specific_field_notes,internal_notes,image_url,location_type_id,project_type_id,sub_project_type_id,status_id,grant_id,grant_program_id,d2p_batch_id,mycw,region,funding_source,rehab,revenue_category,package_id,fluxx_id,fluxx_regrant_id,possible_location_types,review_status_name,resubmission_notes,state,district,sub_district,system_name,water_point_name,latitude_display,longitude_display
52112,ET.GOH.Q4.13.156.246,felsi berbere,125,,14.00809,38.0535,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,Asgede tsimbla,edaga hibret,,,,
52113,ET.GOH.Q4.13.156.247,tika tseyahaye mezgebe,100,,14.02657,38.02291,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,Asgede tsimbla,edaga hibret,,,,
52114,ET.GOH.Q4.13.156.248,may kolankul,120,,14.03041,38.02061,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,Asgede tsimbla,edaga hibret,,,,
52115,ET.GOH.Q4.13.156.249,grat kidane teklu,200,,14.03156,38.08434,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,98,,427,Community,,,,Asgede tsimbla,may shek,,,,
52116,ET.GOH.Q4.13.156.250,enda aboy gebre,200,,41.04265,38.09597,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,Asgede tsimbla,may shek,,,,
52117,ET.GOH.Q4.13.156.251,may chea,250,,13.98517,37.73302,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,Asgede tsimbla,dedebit,,,,
52118,ET.GOH.Q4.13.156.252,tifaya ruba,250,,13.97986,37.72966,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,382,,427,Community,,,,Asgede tsimbla,dedebit,,,,
52119,ET.GOH.Q4.13.156.253,midimar netaet,150,,14.04668,37.70191,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,493,,427,Community,,,,Asgede tsimbla,dedebit,,,,
52120,ET.GOH.Q4.13.156.254,lekote,175,,14.02037,38.09539,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,436,,427,Community,,,,Asgede tsimbla,may shek,,,,
52121,ET.GOH.Q4.13.156.255,egri abrha barto,165,,14.01317,38.07694,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,Asgede tsimbla,may shek,,,,
52122,ET.GOH.Q4.13.156.256,may kewie,300,,14.00013,38.09721,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,Asgede tsimbla,may shek,,,,
52123,ET.GOH.Q4.13.156.257,may hagay,190,,14.08688,37.78797,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,436,,427,Community,,,,Asgede tsimbla,dedebit,,,,
52124,ET.GOH.Q4.13.156.258,may ela,225,,14.0702,37.97712,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,436,,427,Community,,,,Asgede tsimbla,hitsats,,,,
52125,ET.GOH.Q4.13.156.259,enda tikawo,125,,14.06693,37.98788,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,Asgede tsimbla,hitsats,,,,
52126,ET.GOH.Q4.13.156.260,mikilay,230,,14.08098,37.99188,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,Asgede tsimbla,hitsats,,,,
52127,ET.GOH.Q4.13.156.261,grat t/medhin,275,,14.06457,37.96448,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,638,,427,Community,,,,Asgede tsimbla,hitsats,,,,
52128,ET.GOH.Q4.13.156.262,grat g/meskel,175,,14.05866,37.96249,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,Asgede tsimbla,hitsats,,,,
52129,ET.GOH.Q4.13.156.263,ruba endaboy haftu,210,,14.06344,37.95472,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,Asgede tsimbla,hitsats,,,,
52130,ET.GOH.Q4.13.156.264,ela hafash,215,,14.05051,37.96255,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,Asgede tsimbla,hitsats,,,,
52131,ET.GOH.Q4.13.156.265,humerit,190,,14.05315,37.93969,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,Asgede tsimbla,hitsats,,,,
