id,deployment_code,community_name,population,cost_estimate,plaque_text,location_type_id,project_type_id,status_id,grant_id,grant_program_id,region,rehab,revenue_category,package_id,fluxx_regrant_id,possible_location_types,state,district,sub_district,system_name,water_point_name,latitude,longitude
6954,ET.GOH.Q2.13.144.044,Endo,170,9063.85,A jug fills drop by drop,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,364,Community,Tigray,W/Leke,Endachiwa,,,13.98962,38.98042
6955,ET.GOH.Q2.13.144.045,Hidad,150,9063.85,A jug fills drop by drop,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,364,Community,Tigray,W/Leke,Endachiwa,,,14.04902,38.96874
6956,ET.GOH.Q2.13.144.046,Endamefles,250,9063.85,A jug fills drop by drop,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,364,Community,Tigray,W/Leke,Endachiwa,,,14.14282,39.00293
6957,ET.GOH.Q2.13.144.047,Mizraf,200,9063.85,A jug fills drop by drop,CO,3,1,1174,120,Tigray,1,MYCW_0K-5K,126,365,Community,Tigray,W/Leke,Endachiwa,,,14.21041,39.04162
6958,ET.GOH.Q2.13.144.048,Maydelva,200,9063.85,A jug fills drop by drop,CO,3,1,1174,120,Tigray,1,MYCW_0K-5K,126,365,Community,Tigray,W/Leke,Endachiwa,,,14.09549,38.99915
6959,ET.GOH.Q2.13.144.049,Riwa-hizaeti,220,9063.85,A jug fills drop by drop,CO,3,1,1174,120,Tigray,1,MYCW_0K-5K,126,365,Community,Tigray,W/Leke,Endachiwa,,,13.70077,38.72578
6960,ET.GOH.Q2.13.144.050,Gratembel,150,9063.85,Angela's Birthday Wish,CO,3,1,1174,120,Tigray,1,MYCW_0K-5K,126,365,Community,Tigray,W/Leke,Endachiwa,,,12.96522,39.44062
6961,ET.GOH.Q2.13.144.051,Maidaero,400,9063.85,Angela's Birthday Wish,CO,3,1,1174,120,Tigray,1,MYCW_0K-5K,126,365,Community,Tigray,K/Tembien,Dernetseb,,,14.11325,39.00549
6962,ET.GOH.Q2.13.144.052,Agamat,400,9063.85,Angela's Birthday Wish,CO,3,1,1174,120,Tigray,1,MYCW_0K-5K,126,365,Community,Tigray,K/Tembien,Dernetseb,,,13.605,38.96848
6963,ET.GOH.Q2.13.144.053,Adiserete,300,9063.85,Angela's Birthday Wish,CO,3,1,1174,120,Tigray,1,MYCW_0K-5K,126,365,Community,Tigray,K/Tembien,Dernetseb,,,14.20331,39.06538
6964,ET.GOH.Q2.13.144.054,Admis,300,9063.85,Angela's Birthday Wish,CO,3,1,1174,120,Tigray,1,MYCW_0K-5K,126,365,Community,Tigray,T/Abergelle,Shekatekli,,,14.03259,39.0028
6965,ET.GOH.Q2.13.144.055,Adiwaka,250,9063.85,Angela's Birthday Wish,CO,3,1,1174,120,Tigray,1,MYCW_0K-5K,126,365,Community,Tigray,T/Abergelle,Shekatekli,,,14.21594,39.01665
6966,ET.GOH.Q2.13.144.056,Mailemin,400,9063.85,Angela's Birthday Wish,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,366,Community,Tigray,T/Abergelle,Agbe,,,14.04676,39.01362
6967,ET.GOH.Q2.13.144.057,Chincha debek,300,9063.85,Angela's Birthday Wish,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,366,Community,Tigray,T/Abergelle,Agbe,,,14.01425,39.01311
6968,ET.GOH.Q2.13.144.058,Kurkura,400,9063.85,Angela's Birthday Wish,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,366,Community,Tigray,T/Abergelle,Agbe,,,13.98586,38.78477
6969,ET.GOH.Q2.13.144.059,bakla,300,9063.85,Angela's Birthday Wish,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,366,Community,Tigray,T/Abergelle,Hadash tekli,,,13.01567,39.41731
6970,ET.GOH.Q2.13.144.060,Tahtayadi,450,9063.85,Ride for Water 2013,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,366,Community,Tigray,T/Abergelle,Hadash tekli,,,13.98987,38.77685
6971,ET.GOH.Q2.13.144.061,Adietay,400,9063.85,Ride for Water 2013,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,366,Community,Tigray,T/Abergelle,Adiweyane,,,14.06011,39.06578
6972,ET.GOH.Q2.13.144.062,Bamba,450,9063.85,Ride for Water 2013,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,366,Community,Tigray,T/Abergelle,Jijke,,,13.55008,39.06022
