id,deployment_code,community_name,population,population_override,latitude,longitude,cost_estimate,plaque_text,location_type_id,project_type_id,sub_project_type_id,status_id,grant_id,grant_program_id,d2p_batch_id,mycw,region,funding_source,rehab,revenue_category,package_id,fluxx_id,fluxx_regrant_id,possible_location_types,review_status_name,resubmission_notes,state,district,sub_district,system_name,water_point_name,latitude_display,longitude_display
51527,ET.GOH.Q3.13.148.072,meida adi,275,,13.35247,39.12566,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,327,,417,Community,,,,S/samre,Cheli,,,,
51528,ET.GOH.Q3.13.148.073,tahtai kolakul,265,,13.32762,39.10797,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,322,,417,Community,,,,S/samre,Cheli,,,,
51529,ET.GOH.Q3.13.148.074,hadush kini,240,,13.31755,39.12863,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,318,,417,Community,,,,S/samre,Cheli,,,,
51530,ET.GOH.Q3.13.148.075,taka ( merat behafta taame),275,,13.35859,39.12466,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,318,,417,Community,,,,S/samre,Cheli,,,,
51531,ET.GOH.Q3.13.148.076,emba,260,,13.3293,39.07339,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,318,,417,Community,,,,S/samre,Esiret,,,,
51532,ET.GOH.Q3.13.148.077,may filfl,325,,13.3632,39.06244,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,318,,417,Community,,,,S/samre,Esiret,,,,
51533,ET.GOH.Q3.13.148.078,adi zemu (fato),250,,13.35444,39.07464,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,318,,417,Community,,,,S/samre,Esiret,,,,
51534,ET.GOH.Q3.13.148.079,adi arbaet( May aygi),285,,13.3351,39.07964,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,327,,417,Community,,,,S/samre,Esiret,,,,
51535,ET.GOH.Q3.13.148.080,below dam,300,,13.81862,39.75519,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,327,,417,Community,,,,Atsbiwemberta,Kalamin,,,,
51536,ET.GOH.Q3.13.148.081,Below G/her Abrha ,250,,13.81964,39.75503,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,327,,417,Community,,,,Atsbiwemberta,Kalamin,,,,
51537,ET.GOH.Q3.13.148.082,Gra dela,350,,13.81006,39.74009,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,327,,417,Community,,,,Atsbiwemberta,Kalamin,,,,
