id,deployment_code,community_name,population,population_override,latitude,longitude,cost_estimate,cost_actual,other_funding_amt,other_funding_donation_count,completion_date,partner_project_code,plaque_text,project_specific_field_notes,internal_notes,image_url,location_type_id,project_type_id,sub_project_type_id,status_id,grant_id,grant_program_id,d2p_batch_id,mycw,region,funding_source,rehab,revenue_category,package_id,fluxx_id,fluxx_regrant_id,possible_location_types,review_status_name,resubmission_notes,state,district,sub_district,system_name,water_point_name
new,ET.RST.Q2.14.162.044,May_karo,291,,13.52325,39.52548,,,,,,,charity: water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Meles,,
new,ET.RST.Q2.14.162.045,Adi_kegnamat,291,,13.51657,39.52319,,,,,,,charity: water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Meles,,
new,ET.RST.Q2.14.162.046,Mitsae_Ketsela,291,,13.46778,39.42557,,,,,,,U.S. Chemicals,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Debri,,
new,ET.RST.Q2.14.162.047,Beles,291,,13.43848,39.50573,,,,,,,U.S. Chemicals,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Aynalem,,
new,ET.RST.Q2.14.162.048,May_Gushash,291,,13.43548,39.50412,,,,,,,Charlie Grosso & Sherry Ott,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Aynalem,,
new,ET.RST.Q2.14.162.049,Wehabite,291,,13.44663,39.49345,,,,,,,Grainne's 50th Pledge,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Aynalem,,
new,ET.RST.Q2.14.162.050,AyniKaka,291,,13.52308,39.51221,,,,,,,#LIFEoftheMODEL,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Indastiry,,
new,ET.RST.Q2.14.162.051,Adi_teklit,291,,13.52168,39.50765,,,,,,,Pirate Coast Paddle for Water 2014,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Indastiry,,
new,ET.RST.Q2.14.162.052,Adi_Harus,291,,13.52335,39.47813,,,,,,,"1000lives:""Because everyone deserves clean water"".",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Gunbet20,,
new,ET.RST.Q2.14.162.053,May_wato,291,,13.53615,39.44168,,,,,,,"Water, Art, Soul",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Adiha,,
